Date,Open,High,Low,Close,Adj Close,Volume
2006-07-28,57.001884,57.001884,52.767456,52.767456,41.175552,1273
2006-07-31,56.981525,56.981525,53.337475,53.968567,42.112812,23281
2006-08-01,54.151787,55.454689,53.948212,54.742165,42.716457,42782
2006-08-02,55.006817,55.006817,53.744633,53.887138,42.049263,453870
2006-08-03,54.029640,54.660732,53.744633,54.558945,42.573490,72482
2006-08-04,53.805706,54.355366,53.256046,53.256046,41.556812,218405
2006-08-07,52.441730,53.194969,51.362766,52.726742,41.143787,60450
2006-08-08,52.482449,53.011749,51.607063,51.769924,40.397156,53803
2006-08-09,51.708851,51.708851,50.996326,51.301693,40.031796,248677
2006-08-10,51.016685,51.322052,50.609528,50.996326,39.793503,257339
2006-08-11,51.199905,51.199905,48.858757,49.693428,38.776825,34057
2006-08-14,49.265911,50.650246,49.265911,50.283806,39.237511,69391
2006-08-15,49.856289,50.772392,49.774857,50.304161,39.253395,5217
2006-08-16,50.426308,51.281338,50.426308,51.118473,39.888813,31689
2006-08-17,51.057400,52.787815,50.894539,51.912430,40.508358,51311
2006-08-18,51.912430,51.912430,50.528095,50.528095,39.428139,88506
2006-08-21,50.568813,51.505272,49.998795,50.711319,39.571102,70176
2006-08-22,50.792747,51.790283,50.752033,51.301693,40.031796,25293
2006-08-23,51.607063,52.889603,51.098118,52.075291,40.635441,22974
2006-08-24,52.523163,53.724274,51.322052,53.113541,41.445610,42356
2006-08-25,53.703918,54.436798,53.357834,53.826061,42.001606,67528
2006-08-28,53.846420,54.355366,53.357834,54.111073,42.224010,52875
2006-08-29,54.335011,54.335011,52.319584,52.339943,40.841953,114002
2006-08-30,53.907494,53.907494,52.523163,53.235687,41.540924,21965
2006-08-31,53.337475,53.541054,52.991394,53.072823,41.413830,16347
2006-09-01,53.968567,54.803238,53.968567,54.599659,42.605263,181702
2006-09-04,54.660732,55.658268,54.660732,55.454689,43.272461,32069
2006-09-05,55.291824,55.576836,54.782883,54.803238,42.764114,120716
2006-09-06,54.843952,55.271469,54.335011,54.538586,42.557606,82742
2006-09-07,55.230755,55.230755,53.174614,53.256046,41.556812,30708
2006-09-08,55.251110,55.251110,53.663200,53.968567,42.112812,27339
2006-09-11,52.808174,54.558945,52.421375,52.563877,41.016697,74531
2006-09-12,52.726742,53.581772,51.912430,53.296761,41.588573,86768
2006-09-13,52.930321,53.459621,52.401016,53.378193,41.652130,227407
2006-09-14,53.561413,55.149323,53.561413,54.640377,42.637028,159980
2006-09-15,54.355366,54.966103,53.459621,54.497871,42.525833,21906
2006-09-18,54.660732,54.945744,54.518230,54.762524,42.732342,18227
2006-09-19,54.762524,54.945744,54.172146,54.721806,42.700573,15970
2006-09-20,54.579304,54.986458,54.579304,54.579304,42.589375,27048
2006-09-21,54.660732,54.966103,54.375725,54.518230,42.541718,44706
2006-09-22,53.744633,54.966103,53.113541,53.418907,41.683891,23416
2006-09-25,53.133900,53.846420,50.792747,51.220264,39.968254,78777
2006-09-26,52.075291,52.991394,50.935253,52.848888,41.239098,91501
2006-09-27,53.337475,54.986458,53.337475,54.457157,42.494064,83090
2006-09-28,54.823597,57.062958,54.823597,55.597195,43.383659,64858
2006-09-29,55.882202,56.940807,55.597195,55.882202,43.606052,22070
2006-10-02,56.024708,56.045067,55.088249,55.088249,42.986519,27994
2006-10-03,56.146854,56.146854,54.905029,55.169678,43.050053,22941
2006-10-04,55.169678,55.454689,54.253578,54.864311,42.811779,25309
2006-10-05,55.515762,56.900093,55.515762,56.289360,43.923775,34695
2006-10-06,55.597195,58.406570,55.597195,58.162277,45.385246,32323
2006-10-09,58.223351,59.241241,58.223351,59.180168,46.179531,88849
2006-10-10,59.689114,61.134518,59.241241,60.808792,47.450378,67686
2006-10-11,61.012371,61.012371,59.750187,60.421997,47.148548,46392
2006-10-12,60.686646,61.175236,60.462711,61.154877,47.720425,4203
2006-10-13,61.317738,62.783501,60.686646,62.376347,48.673573,14581
2006-10-16,62.905647,63.638531,62.355988,63.231373,49.340771,44730
2006-10-17,63.557098,63.557098,62.254200,62.274555,48.594147,131623
2006-10-18,63.557098,65.145012,63.231373,64.778564,50.548077,36220
2006-10-19,64.534271,64.860001,64.127121,64.676781,50.468651,19756
2006-10-20,65.145012,65.145012,64.228905,64.860001,50.611626,14544
2006-10-23,65.145012,66.366478,64.717499,66.244331,51.691841,28432
2006-10-24,66.285049,69.216576,66.264687,69.135139,53.947601,129538
2006-10-25,69.338722,70.906273,68.666908,69.216576,54.011147,98532
2006-10-26,70.845200,70.946983,68.015465,68.361542,53.343948,85664
2006-10-27,68.361542,69.216576,67.058640,68.605835,53.534565,101149
2006-10-30,67.465797,68.280113,66.610771,67.180794,52.422592,70862
2006-10-31,67.384369,68.626198,67.221504,68.565125,53.502808,42525
2006-11-01,68.198685,69.399796,68.178322,69.216576,54.011147,6615
2006-11-02,68.178322,68.219040,66.366478,66.793991,52.120762,55115
2006-11-03,66.773636,67.221504,66.000038,67.201149,52.438465,29771
2006-11-06,67.689735,68.198685,66.366478,66.977211,52.263725,31878
2006-11-07,66.386833,67.180794,65.877892,66.040756,51.532990,14190
2006-11-08,66.142540,66.183258,65.674309,66.183258,51.644188,18147
2006-11-09,66.183258,68.219040,66.183258,67.262222,52.486122,39632
2006-11-10,67.262222,68.707626,67.262222,67.506516,52.676750,32578
2006-11-13,67.262222,68.483688,66.895782,68.198685,53.216866,17949
2006-11-14,67.811882,68.341187,67.038284,67.180794,52.422592,8662
2006-11-15,67.730453,67.730453,64.941429,66.610771,51.977787,36012
2006-11-16,66.366478,66.570053,65.267159,65.694672,51.262928,38384
2006-11-17,65.430016,65.430016,63.638531,64.127121,50.039742,60241
2006-11-20,63.638531,65.552162,62.905647,64.982147,50.706936,171136
2006-11-21,65.043221,66.325760,64.697136,65.755745,51.310589,24962
2006-11-22,66.346123,68.056175,66.325760,66.386833,51.803047,50005
2006-11-23,66.651489,67.547234,65.796455,66.183258,51.644188,79021
2006-11-24,66.773636,66.773636,64.554634,64.921074,50.659283,19944
2006-11-27,64.127121,65.796455,64.127121,64.941429,50.675156,79847
2006-11-28,64.147476,64.534271,62.742786,63.149944,49.277233,66064
2006-11-29,63.211018,65.592880,63.211018,65.592880,51.183491,41217
2006-11-30,66.040756,66.040756,63.333164,63.333164,49.420200,35700
2006-12-01,64.371414,64.595345,61.928474,62.091335,48.451172,71753
2006-12-04,61.887756,62.946365,61.215950,62.335629,48.641796,89031
2006-12-05,62.702072,64.188194,62.579926,63.475670,49.531387,54989
2006-12-06,64.127121,64.839645,63.740318,64.330696,50.198601,17329
2006-12-07,64.412125,66.244331,63.597816,66.244331,51.691841,31645
2006-12-08,65.226440,65.267159,64.839645,65.145012,50.834023,16821
2006-12-11,65.145012,66.977211,65.145012,66.570053,51.945999,20963
2006-12-12,66.773636,67.180794,64.025330,64.127121,50.039742,56599
2006-12-13,65.002502,65.002502,63.312805,64.351051,50.214470,44767
2006-12-14,64.737854,65.409660,64.188194,64.351051,50.214470,19530
2006-12-15,64.289978,65.083939,64.289978,65.083939,50.786377,23508
2006-12-18,64.452843,65.409660,64.452843,64.778564,50.548077,39488
2006-12-19,64.127121,64.127121,63.211018,63.618172,49.642593,47652
2006-12-20,64.574989,65.206085,64.147476,64.860001,50.611626,31524
2006-12-21,63.719963,65.552162,63.719963,64.860001,50.611626,36709
2006-12-22,64.351051,65.145012,64.025330,64.025330,49.960312,36304
2006-12-27,64.127121,65.043221,64.066048,65.043221,50.754597,18831
2006-12-28,64.473198,65.816818,64.473198,65.674309,51.247032,64471
2006-12-29,65.145012,65.653954,65.002502,65.145012,50.834023,25078
2007-01-01,65.145012,65.145012,65.145012,65.145012,50.834023,0
2007-01-02,64.534271,66.977211,64.534271,66.916138,52.216068,29356
2007-01-03,66.997566,66.997566,63.943897,64.147476,50.055622,64607
2007-01-04,63.821751,63.821751,61.317738,62.376347,48.673573,68777
2007-01-05,62.091335,63.455311,61.908115,63.109226,49.245453,71540
2007-01-08,62.702072,62.926006,62.294914,62.600281,48.848320,61941
2007-01-09,62.742786,64.004974,62.742786,62.864933,49.054825,20712
2007-01-10,63.618172,63.618172,62.091335,62.783501,48.991283,20405
2007-01-11,63.557098,63.842110,62.926006,63.475670,49.531387,22349
2007-01-12,63.475670,63.801392,63.109226,63.760677,49.753792,15807
2007-01-15,64.106758,65.470734,64.025330,65.165367,50.849907,60907
2007-01-16,65.348587,65.857529,65.348587,65.592880,51.183491,38814
2007-01-17,65.185722,65.592880,63.923538,64.737854,50.516300,18316
2007-01-18,65.145012,66.122185,64.737854,65.124649,50.818130,22067
2007-01-19,65.145012,65.511452,63.740318,65.409660,51.040535,29724
2007-01-22,65.450378,66.773636,65.348587,66.285049,51.723610,37084
2007-01-23,66.447906,68.015465,65.755745,67.811882,52.915031,69504
2007-01-24,67.913673,71.557724,67.913673,70.987701,55.393188,172533
2007-01-25,71.354141,72.372032,69.725517,72.046310,56.219250,125282
2007-01-26,70.845200,71.557724,70.845200,71.394859,55.710918,34097
2007-01-29,72.249886,72.677399,71.313431,72.270241,56.393993,57825
2007-01-30,72.351677,72.779190,71.252350,72.779190,56.791134,96922
2007-01-31,73.125275,73.919228,72.209167,72.677399,56.711700,47949
2007-02-01,73.593498,75.161057,73.532433,74.733543,58.316151,88769
2007-02-02,75.486778,75.812508,73.858154,73.939583,57.696598,30629
2007-02-05,73.939583,75.568207,73.939583,74.468887,58.109646,37603
2007-02-06,74.672462,74.692825,73.919228,74.387459,58.046093,26925
2007-02-07,75.120338,75.120338,73.980301,74.977837,58.506771,38794
2007-02-08,74.814972,75.323914,73.145630,74.407814,58.061966,47294
2007-02-09,74.346741,74.835327,73.817436,73.898872,57.664841,53994
2007-02-12,73.267776,73.450996,72.942055,73.389923,57.267696,58261
2007-02-13,72.880981,74.774254,72.880981,74.306023,57.982555,31223
2007-02-14,75.059265,76.993256,74.143166,76.117874,59.396389,55589
2007-02-15,77.156120,78.112938,76.810036,77.176476,60.222443,32374
2007-02-16,77.461487,79.049400,76.891464,78.357231,61.143795,112556
2007-02-19,78.805099,79.273331,78.805099,78.988319,61.636257,64847
2007-02-20,79.619415,79.985855,77.115402,77.705780,60.635456,35832
2007-02-21,77.115402,79.029037,76.402878,78.988319,61.636257,34856
2007-02-22,79.395477,80.800171,79.375122,79.721207,62.208126,59978
2007-02-23,80.230148,80.718735,79.660133,80.494804,62.811783,58362
2007-02-26,81.024101,83.528114,81.024101,83.446686,65.115196,59938
2007-02-27,82.245575,82.713806,78.235085,78.784744,61.477386,42009
2007-02-28,74.428169,78.784744,73.959946,78.540451,61.286789,143187
2007-03-01,78.621880,80.372658,76.219658,78.988319,61.636257,70251
2007-03-02,80.230148,82.204857,80.230148,80.270866,62.637028,61307
2007-03-05,77.563278,78.031509,76.301094,77.603989,60.556026,44921
2007-03-06,78.174011,79.130829,78.031509,78.581169,61.318539,18628
2007-03-07,79.395477,80.555878,78.866173,79.599060,62.112839,50606
2007-03-08,81.390549,82.041992,80.820526,81.940208,63.939663,95636
2007-03-09,82.225220,82.225220,80.209793,80.881599,63.113602,27931
2007-03-12,80.616951,80.840881,79.639771,80.535515,62.843552,67142
2007-03-13,81.431259,81.431259,78.825462,78.906891,61.572689,26399
2007-03-14,76.158585,77.685425,75.731071,76.565742,59.745857,63296
2007-03-15,77.970428,77.970428,76.240021,77.970428,60.841969,47936
2007-03-16,77.665062,77.950073,76.932182,77.746498,60.667225,36748
2007-03-19,76.932182,77.054329,75.751434,76.097511,59.380497,66109
2007-03-20,76.993256,76.993256,75.038910,76.525024,59.714069,151697
2007-03-21,76.382523,80.006210,76.138229,79.843353,62.303425,45797
2007-03-22,80.820526,81.736626,79.130829,79.537987,62.065144,46323
2007-03-23,79.537987,80.169075,78.703316,79.863708,62.319336,17582
2007-03-26,80.413368,82.245575,80.270866,80.331940,62.684700,82002
2007-03-27,81.125893,81.777344,80.372658,80.718735,62.986534,28465
2007-03-28,80.006210,80.006210,78.051865,78.072220,60.921398,66217
2007-03-29,78.947609,80.515160,78.377586,79.965500,62.398758,73223
2007-03-30,80.616951,81.533051,80.230148,81.227684,63.383667,37228
2007-04-02,79.619415,81.431259,78.988319,81.125893,63.304226,50321
2007-04-03,81.288757,82.184502,81.166611,81.533051,63.621964,17503
2007-04-04,82.041992,82.876663,81.064819,82.876663,64.670395,16233
2007-04-05,82.958099,83.283821,81.919846,83.161674,64.892792,9611
2007-04-10,83.426331,84.423859,82.815590,83.813126,65.401146,20260
2007-04-11,84.281357,84.281357,82.469513,82.897026,64.686287,27645
2007-04-12,82.612015,82.937737,81.471977,82.306648,64.225586,40003
2007-04-13,81.838417,82.103065,80.942673,81.797699,63.828453,43604
2007-04-16,82.184502,82.306648,81.838417,81.899490,63.907894,42030
2007-04-17,81.940208,81.940208,80.678024,80.840881,63.081829,15369
2007-04-18,80.515160,80.820526,78.601524,79.578697,62.096931,43011
2007-04-19,78.459023,79.232620,77.726135,79.130829,61.747437,41252
