Date,Open,High,Low,Close,Adj Close,Volume
1992-06-26,0.328125,0.347656,0.320313,0.335938,0.279594,224358400
1992-06-29,0.339844,0.367188,0.332031,0.359375,0.299100,58732800
1992-06-30,0.367188,0.371094,0.343750,0.347656,0.289347,34777600
1992-07-01,0.351563,0.359375,0.339844,0.355469,0.295849,18316800
1992-07-02,0.359375,0.359375,0.347656,0.355469,0.295849,13996800
1992-07-06,0.351563,0.355469,0.347656,0.355469,0.295849,5753600
1992-07-07,0.355469,0.355469,0.347656,0.355469,0.295849,10662400
1992-07-08,0.355469,0.355469,0.343750,0.347656,0.289347,15500800
1992-07-09,0.351563,0.359375,0.347656,0.359375,0.299100,3923200
1992-07-10,0.359375,0.367188,0.351563,0.363281,0.302351,11040000
1992-07-13,0.363281,0.371094,0.359375,0.371094,0.308854,5996800
1992-07-14,0.371094,0.382813,0.367188,0.371094,0.308854,17062400
1992-07-15,0.375000,0.382813,0.371094,0.382813,0.318607,4992000
1992-07-16,0.382813,0.414063,0.378906,0.408203,0.339739,17062400
1992-07-17,0.410156,0.437500,0.398438,0.429688,0.357620,15667200
1992-07-20,0.427734,0.437500,0.417969,0.433594,0.360871,19744000
1992-07-21,0.437500,0.445313,0.429688,0.437500,0.364122,7782400
1992-07-22,0.433594,0.437500,0.421875,0.433594,0.360871,10892800
1992-07-23,0.433594,0.441406,0.425781,0.441406,0.367373,10387200
1992-07-24,0.433594,0.449219,0.429688,0.445313,0.370625,7052800
1992-07-27,0.449219,0.464844,0.445313,0.455078,0.378752,11430400
1992-07-28,0.460938,0.464844,0.429688,0.437500,0.364122,18009600
1992-07-29,0.437500,0.437500,0.406250,0.416016,0.346241,30848000
1992-07-30,0.410156,0.417969,0.402344,0.414063,0.344616,11737600
1992-07-31,0.414063,0.417969,0.406250,0.416016,0.346241,6886400
1992-08-03,0.410156,0.425781,0.410156,0.419922,0.349492,4832000
1992-08-04,0.421875,0.429688,0.412109,0.427734,0.355994,6822400
1992-08-05,0.425781,0.425781,0.402344,0.410156,0.341364,9516800
1992-08-06,0.406250,0.410156,0.398438,0.410156,0.341364,3673600
1992-08-07,0.410156,0.425781,0.398438,0.425781,0.354369,8825600
